District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
034,03425037,Clearbrook StrongStart Centre,3614 CLEARBROOK RD,,ABBOTSFORD,BC,V2T6N3,,,,,,,Natalie,Jehn,,,StrongStart Center,Early Learning,6048595348,,erica.hopkins@abbyschools.ca,,,,,
034,03434058,Eugene Reimer Middle School,3433 FIRHILL DR,,ABBOTSFORD,BC,V2T6X6,,,,,,,Delaina,Henry,,,Standard,Public,6045045343,6048520465,ian.levings@abbyschools.ca,,,,,
034,03434060,Clayburn Middle School,35139 LABURNUM AVE,,ABBOTSFORD,BC,V2S8N3,,,,,,,Marcia,Janzen,,,Standard,Public,6045047007,6045047983,heather.reid@abbyschools.ca,,,,,
034,03434064,Abbotsford School Of Integrated Arts,36232 LOWER SUMAS MTN RD,,ABBOTSFORD,BC,V3G2J3,,,,,,,Maurine,Gunia,,,Standard,Public,6048505207,6048508619,karen.bennett@abbyschools.ca,,,,,
034,03425019,Alexander StrongStart Centre,2250 LOBBAN RD,,ABBOTSFORD,BC,V2S3W1,,,,,,,Amanda,Linklater,,,StrongStart Center,Early Learning,6048593167,,tara.plantinga@abbyschools.ca,,,,,
034,03434035,Auguston Traditional Elementary,36367 STEPHEN LEACOCK DR,,ABBOTSFORD,BC,V3G2Z6,,,,,,Principal,Kris,Sward,,,Standard,Public,6045570422,6045570423,kris.sward@abbyschools.ca,,,,,
034,03434061,Abbotsford Traditional School,2272 WINDSOR ST,,ABBOTSFORD,BC,V2T6M1,,,,,,Principal,Reg,Gabriel,,,Standard,Public,6048507029,6048507028,reg.gabriel@abbyschools.ca,,,,,
034,03434057,Colleen And Gordie Howe Middle School,3174 CLEARBROOK RD,,ABBOTSFORD,BC,V2T4N6,,,,,,Vice Principal,Nicolas,Cochrane,,6048598700,Standard,Public,6048598700,6048598781,shawn.davids@abbyschools.ca,,,,,
034,03434003,Mt Lehman Elementary,6381 MT LEHMAN RD,,ABBOTSFORD,BC,V4X2G5,,,,,,,Daniela,Sweeten,,,Standard,Public,6048565083,6048565939,maralee.lincoln@abbyschools.ca,,,,,
034,03434011,Bradner Elementary,5291 BRADNER RD,,ABBOTSFORD,BC,V4X2P5,,,,,,Principal,Kam,Sidhu,,,Standard,Public,6048563304,6048563865,kamaljit.sidhu@abbyschools.ca,,,,,
034,03434016,South Poplar Traditional Elementary,32746 HUNTINGDON RD,,ABBOTSFORD,BC,V2T5Z1,,,,,,Principal,Shannon,Manky,,,Standard,Public,6048531845,6048507647,shannon.manky@abbyschools.ca,,,,,
034,03434018,Clearbrook Elementary,3614 CLEARBROOK RD,,ABBOTSFORD,BC,V2T6N3,,,,,,,Natalie,Jehn,,,Standard,Public,6048595348,6048507814,erica.hopkins@abbyschools.ca,,,,,
034,03434022,Abbotsford Senior Secondary School,33355 BEVAN  AVE,,ABBOTSFORD,BC,V2S0E7,,,,,,Principal,Carla,Campbell,3005,6048533367,Standard,Public,6048533367,6048533045,carla.campbell@abbyschools.ca,,,,,
034,03434021,Alexander Elementary,2250 LOBBAN RD,,ABBOTSFORD,BC,V2S3W1,,,,,,Principal,Tara,Plantinga,,,Standard,Public,6048593167,6048505678,alexander@abbyschools.ca,https://www.alexander.abbyschools.ca,,,,
034,03434005,ASIA - North Poplar,32041 MARSHALL RD,,ABBOTSFORD,BC,V2T1A2,,,,,,Principal,Annalisa,Osterby-Batryn,,,Standard,Public,6048593101,6048507675,amanda.felling@abbyschools.ca,,,,,
034,03434023,Barrowtown Elementary,5137 TOLMIE RD,,ABBOTSFORD,BC,V3G2V4,,,,,,,Alisa,Treliving,,,Standard,Public,6048545996,6048234944,michelle.basran@abbyschools.ca,,,,,
034,03434025,Abbotsford Middle School,33231 BEVAN AVE,,ABBOTSFORD,BC,V2S0A9,,,,,,Principal,Jasbir,Singh,,,Standard,Public,6048597125,6048502260,jasbir.singh@abbyschools.ca,,,,,
034,03434026,Aberdeen Elementary,2975 BRADNER RD,,ABBOTSFORD,BC,V4X1K6,,,,,,Principal,Melissa,Wilsdon,,,Standard,Public,6048565137,6048565714,melissa.wilsdon@abbyschools.ca,,,,,
034,03434028,Godson Elementary,33130 BEVAN AVE,,ABBOTSFORD,BC,V2S1T6,,,,,,,Shelly,Kenyon,,,Standard,Public,6048538374,6048507631,tyler.baruta@abbyschools.ca,,,,,
034,03434032,Ross Elementary,2451 ROSS RD,,ABBOTSFORD,BC,V4X1J3,,,,,,Principal,Kristen,Vogel,,6048566079,Standard,Public,6048566079,6048566557,kristen.vogel@abbyschools.ca,,,,,
034,03434033,Margaret Stenersen Elementary,3060 OLD CLAYBURN RD,,ABBOTSFORD,BC,V2S4H3,,,,,,Principal,Lori,Whitman,,,Standard,Public,6048593151,6048501845,lori.whitman@abbyschools.ca,,,,,
034,03434036,Ten Broeck Elementary,2580 STANLEY ST,,ABBOTSFORD,BC,V2T2R4,,,,,,Vice Principal,Shannon,Thiesen,,6048506657,Standard,Public,6048506657,6048503237,lee.magis@abbyschools.ca,,,,,
034,03434037,Centennial Park Elementary,2527 GLADWIN RD,,ABBOTSFORD,BC,V2T3N8,,,,,,,Corinne,Wood,,,Standard,Public,6048539148,6048503453,kari.petzold@abbyschools.ca,,,,,
034,03434038,Yale Secondary,34620 OLD YALE RD,,ABBOTSFORD,BC,V2S7S6,,,,,,,Sandra,Matiuk,,,Standard,Public,6048530778,6048543754,rob.sloboda@abbyschools.ca,,,,,
034,03434042,William A. Fraser Middle School,34695 BLATCHFORD WAY,,ABBOTSFORD,BC,V2S6M6,,,,,,,Jesse,Tymich,,,Standard,Public,6048596794,6048507849,dean.johnston@abbyschools.ca,,,,,
034,03434045,Dr Thomas A Swift Elementary,34800 MIERAU ST,,ABBOTSFORD,BC,V2S5Y4,,,,,,Principal,Shannon,Kenney,,6048074178,Standard,Public,6048537730,6048507851,shannon.kenney@abbyschools.ca,,,,,
034,03434046,Terry Fox Elementary,3071 BABICH ST,,ABBOTSFORD,BC,V2S5W5,,,,,,Principal,Angela,Magnon,,,Standard,Public,6048598403,6048508612,angela.magon@abbyschools.ca,,,,,
034,03434047,Chief Dan George Middle,32877 OLD RIVERSIDE RD,,ABBOTSFORD,BC,V2S8K2,,,,,,,Keshia,Jenkinson,,,Standard,Public,6048529616,6048507653,jamie.beck@abbyschools.ca,,,,,
034,03434027,McMillan Elementary,34830 OAKHILL DR,,ABBOTSFORD,BC,V2S7R3,,,,,,Principal,Christine,Jordan,,6048590126,Standard,Public,6048590126,6048506505,christine.jordan@abbyschools.ca,,,,,
034,03434044,John Maclure Community School,2990 ORIOLE CRES,,ABBOTSFORD,BC,V2T4E1,,,,,,Principal,Fay,Christie,,6048506450,Standard,Public,6048536450,6048507370,johnmaclure@abbyschools.ca,https://johnmaclure.abbyschools.ca/,,,,
034,03434031,Jackson Elementary,33165 KING RD,,ABBOTSFORD,BC,V2S7Z9,,,,,,,Brenda,Neufeld,,,Standard,Public,6048595826,6048507683,debbie.chenier@abbyschools.ca,,,,,
034,03434043,Dormick Park Elementary,32161 Dormick Avenue,,ABBOTSFORD,BC,V2T3J6,,,,,,Administrative Assistant,Lisa,Paré,,6048593712,Standard,Public,6048593712,6048507693,andrea.wildeman@abbyschools.ca,,,,,
034,03434048,Prince Charles Elementary,35410 MCKEE RD,,ABBOTSFORD,BC,V3G3B1,,,,,,Principal,Duane,Penner,7601,6048529323,Standard,Public,6048529323,6048507897,duane.penner@abbyschools.ca,,,,,
034,03496320,Cornerstone Christian School,PO BOX 520 STN MAIN,,ABBOTSFORD,BC,V2T6Z7,3970 GLADWIN RD,,ABBOTSFORD,BC,V2T6Z7,,Leina,Deboer,,,Standard,Independent,6048597867,6048597860,principal@cornerstoneschool.ca,,01,01,01,
034,03496371,Pacific Christian School,29623 DOWNES RD,,ABBOTSFORD,BC,V4X1Z8,,,,,,,Jason,Thiessen,,,Standard,Independent,6048562988,6048562983,pcschool@shaw.ca,,03,03,03,
