District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
041,04196753,Whytecliff Agile Learning Centre-Burnaby,3450 BOUNDARY RD,,BURNABY,BC,V5M4A5,,,,,,Administrative Assistant and Youth Worker,Reece,Doppenberg,,6044384451,Standard,Independent,6044384451,6044385572,rkissner@focusfoundation.ca,,,,01,01
041,04141068,Byrne Creek Community Secondary,7777 18TH ST,,BURNABY,BC,V3N5E5,,,,,,Principal,Effie,Aadland,,,Standard,Public,6042966885,6042966888,effie.aadland@burnabyschools.ca,,,,,
041,04125007,Edmonds Community StrongStart Centre,7651 18TH AVE,,BURNABY,BC,V3N1J1,,,,,,,Cheryl,Song,,,StrongStart Center,Early Learning,6042969012,,,,,,,
041,04141063,Burnaby Mountain Secondary,8800 EASTLAKE DR,,BURNABY,BC,V3J7X5,,,,,,,Ann,Cao,,,Standard,Public,6042966870,6042966873,leeanne.kristmanson@burnabyschools.ca,,,,,
041,04141065,Taylor Park Elementary,7590 MISSION AVE,,BURNABY,BC,V3N5C7,,,,,,,Lora,Delorme,,,Standard,Public,6042969034,6042969076,hal.wall@burnabyschools.ca,https://taylorpark.burnabyschools.ca/,,,,
041,04125006,Morley StrongStart Centre,7355 MORLEY ST,,BURNABY,BC,V5E2K1,,,,,,,Cheryl,Song,,,StrongStart Center,Early Learning,6042969024,,,,,,,
041,04141000,Burnaby Continuing Education,751 HAMMARSKJOLD DR,,BURNABY,BC,V5B4A1,,,,,,,Aisha,Sanders,,,Continuing Education,Public,6042966901,6042966913,cesare.martino@burnabyschools.ca,,,,,
041,04141001,Burnaby Central Secondary,6011 DEER LAKE PARKWAY,,BURNABY,BC,V5G0A9,,,,,,,Burnaby,Central,,,Standard,Public,6042966850,6042966851,tim.wozney@burnabyschools.ca,,,,,
041,04141002,Burnaby North Secondary,751 HAMMARSKJOLD DR,,BURNABY,BC,V5B4A1,,,,,,Principal,Curtis,Hodgson,,6042966875,Standard,Public,6042966875,6042966877,david.rawnsley@burnabyschools.ca,,,,,
041,04141005,Alpha Secondary,930 ALPHA AVE,,BURNABY,BC,V5C3E2,,,,,,Principal,Ben,Pare,,,Standard,Public,6042966865,6042966868,ben.pare@burnabyschools.ca,,,,,
