District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
043,04396806,Children of Integrity Montessori,2541 QUAY PL,,COQUITLAM,BC,V3H3S7,,,,,,Principal,Maria,Woulfe,,6044611223,Standard,Independent,6044611223,6044611228,principal@childrenofintegrity.com,,01,01,,
043,04343074,Blakeburn Elementary,1040 RIVERSIDE DR,,PORT COQUITLAM,BC,V3B8A7,,,,,,Principal,Tara,Fisher,,,Standard,Public,6049449037,6049448634,tfisher@sd43.bc.ca,,,,,
043,04343071,Aspenwood Elementary,2001 PANORAMA DR,,PORT MOODY,BC,V3H5G8,,,,,,,Deborah,Dorcas,,,Standard,Public,6044617680,6044617615,jgoheen@sd43.bc.ca,,,,,
043,04343072,Castle Park Elementary,1144 CONFEDERATION DR,,PORT COQUITLAM,BC,V3C6P1,,,,,,Principal,Andrew,Corbould,,,Standard,Public,6044688620,6044688503,acorbould@sd43.bc.ca,,,,,
043,04343073,Hampton Park Elementary,1760 PADDOCK DR,,COQUITLAM,BC,V3E3N8,,,,,,Principal,Colleen,Castonguay,,6044642549,Standard,Public,6044642549,6044642571,ccastonguay@sd43.bc.ca,,,,,
043,04343110,Eagle Mountain Middle School,110 DOGWOOD DR,,ANMORE,BC,V3H5G1,,,,,,Principal,Andrew,Graham,,,Standard,Public,6044691133,6049378065,agraham@sd43.bc.ca,,,,,
043,04325008,Roy Stibbs StrongStart Centre,600 FAIRVIEW ST,,COQUITLAM,BC,V3J4A7,,,,,,,Lina,Baadarani,,,StrongStart Center,Early Learning,6049392486,,,,,,,
043,04325009,Riverview StrongStart Centre,700 CLEARWATER WAY,,COQUITLAM,BC,V3C6A3,,,,,,,Lina,Baadarani,,,StrongStart Center,Early Learning,6049457004,,,,,,,
043,04399220,Encompass 10-12,1600 KING ALBERT AVE,,COQUITLAM,BC,V3J1Y5,,,,,,,Emmie,Varley,,,Alternate Programs,Public,6049457311,6049378062,lidube@sd43.bc.ca,,,,,
043,04343004,Alderson Elementary,825 GAUTHIER AVE,,COQUITLAM,BC,V3K7C4,,,,,,Principal,Anita,Strang,,,Standard,Public,6049398301,6049396571,astrang@sd43.bc.ca,,,,,
043,04399143,Coquitlam Open Learning,1432 BRUNETTE AVE,,COQUITLAM,BC,V3K1G5,,,,,,,Vivian,Newstead,,6049364285,Provincial Online Learning,Public,6049364285,6049366594,dtruss@sd43.bc.ca,,,,,
043,04343127,Heritage Woods Secondary,1300 DAVID AVE,,PORT MOODY,BC,V3H5K6,,,,,,,Jan,Widmer,,,Standard,Public,6044618679,6049378055,tclerkson@sd43.bc.ca,,,,,
043,04343125,Gleneagle Secondary,1195 LANSDOWNE DR,,COQUITLAM,BC,V3B7Y8,,,,,,Principal,Glen,Conley,,6044645793,Standard,Public,6044645793,6044645796,gconley@sd43.bc.ca,,,,,
043,04343130,Pinetree Secondary,3000 PINEWOOD AVE,,COQUITLAM,BC,V3B7Y7,,,,,,Principal,Janine,Close,,,Standard,Public,6044642513,6049378056,jclose@sd43.bc.ca,,,,,
043,04343002,Anmore Elementary,30 ELEMENTARY RD,,ANMORE,BC,V3H4Y6,,,,,,Principal,Michael,Chan,,6044699926,Standard,Public,6044699926,6049378001,mchan@sd43.bc.ca,,,,,
043,04343005,Baker Drive Elementary,885 BAKER DR,,COQUITLAM,BC,V3J6W9,,,,,,,Lisa,Ploss,,,Standard,Public,6044615323,6044612894,jjamieson@sd43.bc.ca,,,,,
043,04343006,Birchland Elementary,1331 FRASER AVE,,PORT COQUITLAM,BC,V3B1M5,,,,,,,Suzanne,Williamson,,6049413428,Standard,Public,6049413428,6049417952,ahunter@sd43.bc.ca,,,,,
043,04343011,Cedar Drive Elementary,3150 CEDAR DR,,PORT COQUITLAM,BC,V3B3C3,,,,,,,Dayna,Macdonald,,,Standard,Public,6049413481,6049413052,rdhaliwal@sd43.bc.ca,,,,,
043,04343012,Central Elementary,2260 CENTRAL AVE,,PORT COQUITLAM,BC,V3C1V8,,,,,,Principal,Sean,Della Vedova,,,Standard,Public,6049410355,6049416421,sdellavedova@sd43.bc.ca,,,,,
043,04343000,Continuing ED SD 43,380 MONTGOMERY ST,,COQUITLAM,BC,V3K5G2,,,,,,,Debra,Torgunrud,,,Continuing Education,Public,6049364261,6049366594,mmcglenen@sd43.bc.ca,,,,,
043,04343010,Cape Horn Elementary,155 FINNIGAN ST,,COQUITLAM,BC,V3K5J2,,,,,,Principal,Lindsay,Goodridge,,6045264428,Standard,Public,6045264428,6045267248,lgoodridge@sd43.bc.ca,,,,,
043,04343018,Glen Elementary,3064 GLEN DR,,COQUITLAM,BC,V3B2P9,,,,,,,Mindy,Or,,,Standard,Public,6044646608,6044644586,ndaneault@sd43.bc.ca,,,,,
043,04343019,Ecole Glenayre Elementary,495 GLENCOE DR,,PORT MOODY,BC,V3H1G6,,,,,,,Leanne,Gormann,,,Standard,Public,6049399214,6049397512,glenayre@sd43.bc.ca,,,,,
043,04343020,Eagle Ridge Elementary,1215 FALCON DR,,COQUITLAM,BC,V3E1X9,,,,,,Principal,Don,Hutchinson,,,Standard,Public,6044645848,6049378011,dhutchinson@sd43.bc.ca,,,,,
043,04343021,Harbour View Elementary,960 LILLIAN ST,,COQUITLAM,BC,V3J5C7,,,,,,,Julie,Foster,,,Standard,Public,6049361494,6049361495,dfridge@sd43.bc.ca,,,,,
043,04343022,Hazel Trembath Elementary,1278 CONFEDERATION DR,,PORT COQUITLAM,BC,V3C6L9,,,,,,,Lisa,Johnson,,,Standard,Public,6049410517,6049414786,dphelan@sd43.bc.ca,,,,,
043,04343027,Ecole Irvine Elementary,3862 WELLINGTON ST,,PORT COQUITLAM,BC,V3B3Z4,,,,,,Principal,Dennis,Shannon,,6049413408,Standard,Public,6049413408,6049378018,dshannon@sd43.bc.ca,,,,,
043,04343029,James Park Elementary,1761 WESTMINSTER AVE,,PORT COQUITLAM,BC,V3B1E5,,,,,,Principal,Rob,Wright,,,Standard,Public,6049426658,6049429211,jamespark@sd43.bc.ca,,,,,
043,04343033,Leigh Elementary,1230 SOBALL ST,,COQUITLAM,BC,V3B3H7,,,,,,Principal,Bryn,Williams,,,Standard,Public,6049418661,6049378020,bwillliams@sd43.bc.ca,,,,,
043,04343034,Lord Baden-Powell Elementary,450 JOYCE ST,,COQUITLAM,BC,V3K4G4,,,,,,Principal,Mike,Parkins,034102,6049361436,Standard,Public,6049361436,6049361437,mparkins@sd43.bc.ca,,,,,
043,04343036,Ecole Mary Hill Elementary,1890 HUMBER CRES,,PORT COQUITLAM,BC,V3C2V7,,,,,,Principal,Jason,Hewlett,,6049420264,Standard,Public,6049420264,6049423157,jhewlett@sd43.bc.ca,,,,,
043,04343037,Meadowbrook Elementary,900 SHARPE ST,,COQUITLAM,BC,V3C3M3,,,,,,,Salima,-,,,Standard,Public,6044645813,6044646935,tfisher@sd43.bc.ca,,,,,
043,04343038,Miller Park Community School,800 EGMONT AVE,,COQUITLAM,BC,V3J4J8,,,,,,Principal,Tanay,MacDonald,,6049364208,Standard,Public,6049364208,6049364209,tamacdonald@sd43.bc.ca,,,,,
043,04343043,Moody Elementary,2717 ST JOHNS ST,,PORT MOODY,BC,V3H2B8,,,,,,,Sherry,Beddow,,,Standard,Public,6049360478,6049360479,srawnsley@sd43.bc.ca,,,,,
043,04343044,Mountain View Elementary,740 SMITH AVE,,COQUITLAM,BC,V3J4E7,,,,,,,Tara,King,,,Standard,Public,6049367288,6049368596,lsalloum@sd43.bc.ca,,,,,
043,04343045,Mountain Meadows Elementary,999 NOONS CREEK DR,,PORT MOODY,BC,V3H4N3,,,,,,,Pen,Contact,,,Standard,Public,6044692238,6044690974,gmchahon@sd43.bc.ca,,,,,
