District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
037,03799170,Delta Access,4750 57 ST,,DELTA,BC,V4K3C9,11447 82ND AVE,,DELTA,BC,V4C5J6,,Cheryl,Burns,,,District Online Learning,Public,6049405550,6049405520,msmith@deltaschools.ca,,,,,
037,03725041,Hellings StrongStart Centre,11655 86 AVE,,DELTA,BC,V4C2X5,,,,,,,Cheryl,Burns,,,StrongStart Center,Early Learning,6045961701,,,,,,,
037,03725040,McCloskey Elementary AM StrongStart Cent,11531 80 AVE,,DELTA,BC,V4C1X5,,,,,,,Cheryl,Burns,,,StrongStart Center,Early Learning,6045969554,6045965286,mccloskey.elem@deltaschools.ca,https://mc.deltasd.bc.ca/programs/strong-start/,,,,
037,03799141,Home Quest,9240 112 ST,,DELTA,BC,V4C4X8,,,,,,,Cheryl,Burns,,,Provincial Online Learning,Public,6045978353,6045974881,msmith@deltaschools.ca,,,,,
037,03737043,Neilson Grove Elementary,5500 ADMIRAL BLVD,,DELTA,BC,V4K5B7,,,,,,Principal,Jann,Kwasnicki,,,Standard,Public,6049404468,6049400414,jkwasnicki@deltaschools.ca,,,,,
037,03796694,Southpointe Academy,1900 56 ST,,DELTA,BC,V4L2B1,,,,,,,Linda,Eggett,,,Standard,Independent,6049488826,6049488853,gmacintyre@southpointe.ca,https://www.southpointe.ca,02,02,02,02
037,03737000,Delta Continuing Education,4750 57 ST,,DELTA,BC,V4K3C9,11590 83 AVE,,DELTA,BC,V4C0C8,,Cheryl,Burns,,,Continuing Education,Public,6049405550,6049405520,msmith@deltaschools.ca,,,,,
037,03737001,Ladner Elementary,5016 44 AVE,,DELTA,BC,V4K1C1,,,,,,Principal,Stephanie,Matheson,,,Standard,Public,6049464158,6049464150,smatheson@deltaschools.ca,,,,,
037,03737003,Delta Secondary,4615 51 ST,,DELTA,BC,V4K2V8,,,,,,,Cheryl,Burns,,,Standard,Public,6049464194,6049465162,jpavao@deltaschools.ca,,,,,
037,03737007,Richardson Elementary,11339 83 AVE,,DELTA,BC,V4C7B9,,,,,,,Cheryl,Burns,,,Standard,Public,6045967481,6045943164,pwilson@deltaschools.ca,,,,,
037,03737008,Heath Elementary,11364 72 AVE,,DELTA,BC,V4E1Y5,,,,,,,Cheryl,Burns,,,Standard,Public,6045961508,6045961643,kreeve@deltaschools.ca,,,,,
037,03737017,Devon Gardens Elementary,8884 RUSSELL DR,,DELTA,BC,V4C4P8,,,,,,,Cheryl,Burns,,,Standard,Public,6045816185,6045810074,egreenhalgh@deltaschools.ca,,,,,
037,03737012,North Delta Secondary,11447 82 AVE,,DELTA,BC,V4C5J6,,,,,,,Cheryl,Burns,,,Standard,Public,6045967471,6045966192,ssahota@deltaschools.ca,,,,,
037,03737013,Sunshine Hills Elementary,11285 BOND BLVD,,DELTA,BC,V4E1N3,,,,,,,Cheryl,Burns,,,Standard,Public,6045948491,6045943815,khanlon@deltaschools.ca,,,,,
037,03737014,English Bluff Elementary,402 ENGLISH BLUFF RD,,DELTA,BC,V4M2N2,,,,,,,Cheryl,Burns,,,Standard,Public,6049430201,6049439421,tcarletongaines@deltaschools.ca,,,,,
037,03737015,Cliff Drive Elementary,5025 12 AVE,,DELTA,BC,V4M2A7,,,,,,Principal,Tom,McGrory,,6049432244,Standard,Public,6049432244,6049438574,tmcgrory@deltaschools.ca,,,,,
037,03737018,South Park Elementary,735 GILCHRIST DR,,DELTA,BC,V4M3L4,,,,,,Principal,Taj,Reel,,,Standard,Public,6049431105,6049435019,treel@deltaschools.ca,,,,,
037,03737019,Beach Grove Elementary,5955 17A AVE,,DELTA,BC,V4L1J7,,,,,,Principal,Jody,Billingsley,,,Standard,Public,6049430108,6049430166,jbillingsley@deltaschools.ca,,,,,
037,03737021,Delview Secondary,9111 116 ST,,DELTA,BC,V4C5W8,,,,,,Principal,Kevin,Vasconcelos,,,Standard,Public,6045945491,6045974374,kvasconcelos@deltaschools.ca,,,,,
037,03737022,Chalmers Elementary,11315 75 AVE,,DELTA,BC,V4C1H4,,,,,,,Cheryl,Burns,,,Standard,Public,6045945437,6045945391,jmccallum@deltaschools.ca,,,,,
037,03737023,Hellings Elementary,11655 86 AVE,,DELTA,BC,V4C2X5,,,,,,,Cheryl,Burns,,,Standard,Public,6045961701,6045725976,hgonzalez@deltaschools.ca,,,,,
037,03737024,Gray Elementary,10855 80 AVE,,DELTA,BC,V4C1W4,,,,,,Principal,John,Mann,,6045942474,Standard,Public,6045942474,6045941731,jsmann@deltaschools.ca,,,,,
037,03737025,Hawthorne Elementary,5160 CENTRAL AVE,,DELTA,BC,V4K2H2,,,,,,,Cheryl,Burns,,,Standard,Public,6049467601,6049463016,ecranston@deltaschools.ca,,,,,
037,03737026,Gibson Elementary,11451 90 AVE,,DELTA,BC,V4C3H3,,,,,,,Cheryl,Burns,,,Standard,Public,6045947588,6045725971,mdouangchangh@deltaschools.ca,,,,,
037,03737029,Brooke Elementary,8718 DELWOOD DR,,DELTA,BC,V4C3Z9,,,,,,Principal,Katy,Homeniuk,,,Standard,Public,6045836668,6045832503,khomeniuk@deltaschools.ca,,,,,
037,03737030,Jarvis Traditional Elementary,7670 118 ST,,DELTA,BC,V4C6G8,,,,,,,Cheryl,Burns,,,Standard,Public,6045943484,6045972516,klevenstein@deltaschools.ca,,,,,
037,03737033,Port Guichon Elementary,4381 46A ST,,DELTA,BC,V4K2M2,,,,,,,Cheryl,Burns,,,Standard,Public,6049460321,6049460322,dpalmer@deltaschools.ca,,,,,
037,03737035,Holly Elementary,4625 62 ST,,DELTA,BC,V4K3L8,,,,,,Principal,Scott,Preddy,,,Standard,Public,6049460218,6049468375,spreddy@deltaschools.ca,,,,,
037,03737037,South Delta Secondary,750 53 ST,,DELTA,BC,V4M3B7,,,,,,Principal,Terry,Ainge,,,Standard,Public,6049437407,,tainge@deltaschools.ca,,,,,
037,03737038,Sands Secondary,10840 82 AVE,,DELTA,BC,V4C2B3,,,,,,,Jennifer,Marieiro,,,Standard,Public,6045943474,6045941145,rmesich@deltaschools.ca,,,,,
037,03737039,Cougar Canyon Elementary,11664 LYON RD,,DELTA,BC,V4E2K4,,,,,,Principal,Lorrenne,Alkema,,,Standard,Public,6045918676,6045972361,lalkema@deltaschools.ca,,,,,
037,03737040,Seaquam Secondary,11584 LYON RD,,DELTA,BC,V4E2K4,,,,,,Principal,Mark,Robinson,,,Standard,Public,6045916166,6045915800,mrobinson@deltaschools.ca,,,,,
037,03737041,Pinewood Elementary,11777 PINEWOOD DR,,DELTA,BC,V4E3E9,,,,,,Principal,Tina,Doukas,,6045903357,Standard,Public,6045903357,6045974881,tdoukas@deltaschools.ca,,,,,
037,03796095,Sacred Heart,PO BOX 10 LCD MAIN,,DELTA,BC,V4K3N5,3900 ARTHUR DR,,DELTA,BC,V4K3N5,,Lia,Munro,,,Standard,Independent,6049462611,6049460598,office@shsdelta.org,,01,01,,
037,03737027,Pebble Hill Traditional Elementary,246 52A ST,,DELTA,BC,V4M2Z8,,,,,,Principal,Karen,Simpson,,6049430228,Standard,Public,6049430228,6049438276,ksimpson@deltaschools.ca,,,,,
037,03737009,Annieville Elementary,9240 112 ST,,DELTA,BC,V4C4X8,,,,,,Principal,Susan,Parmar,,6045881204,Standard,Public,6045881204,6045881206,sparmar@deltaschools.ca,https://an.deltasd.bc.ca/,,,,
037,03737034,Burnsview Secondary,7658 112 ST,,DELTA,BC,V4C4V8,,,,,,Vice-Principal,Rebeca,Rubio,,6045940491,Standard,Public,6045940491,6045946352,aakune@deltaschools.ca,https://bu.deltasd.bc.ca/,,,,
037,03796130,Immaculate Conception School,8840 119 ST,,DELTA,BC,V4C6M4,,,,,,,Sandra,Randle,,,Standard,Independent,6045966116,6045964338,mjacob@cisva.bc.ca,,01,01,,
037,03796132,Delta Christian School,4789 53 ST,,DELTA,BC,V4K2Y9,,,,,,Office Administrator,Tracy,Kwan,,6049462514,Standard,Independent,6049462514,,principal@deltachristianschool.org,https://deltachristian.ca/,01,01,,
037,03725116,Port Guichon StrongStart Centre,4381 46A ST,,DELTA,BC,V4K2M2,,,,,,,Cheryl,Burns,,,StrongStart Center,Early Learning,6049460321,,,,,,,
037,03725117,Jarvis StrongStart Centre,7670 118 ST,,DELTA,BC,V4C6G8,,,,,,,Cheryl,Burns,,,StrongStart Center,Early Learning,6045943484,,,,,,,
037,03725118,Chalmers StrongStart Centre,11315 75 AVE,,DELTA,BC,V4C1H4,,,,,,,Cheryl,Burns,,,StrongStart Center,Early Learning,6045945437,,,,,,,
037,03725242,McCloskey Elementary PM StrongStart Cent,11531 80 AVE,,DELTA,BC,V4C1X5,,,,,,,Cheryl,Burns,,,StrongStart Center,Early Learning,6045969554,,,,,,,
037,03725241,Heath StrongStart Centre,11364 72 AVE,,DELTA,BC,V4E1Y5,,,,,,,Cheryl,Burns,,,StrongStart Center,Early Learning,6045961508,,heath.elem@deltaschools.ca,https://he.deltasd.bc.ca/,,,,
037,03737032,McCloskey Elementary,11531 80 AVE,,DELTA,BC,V4C1X5,,,,,,Principal,Niels,Nielsen,,,Standard,Public,6045969554,6045965286,nnielsens@deltaschools.ca,,,,,
037,03796535,Boundary Bay Montessori House,3800 72 ST,,DELTA,BC,V4K3N2,,,,,,Head of School,Kate,Baldwin,,6049469814,Standard,Independent,6049469814,,headofschool@bbmschool.ca,https://www.bbmschool.ca,01,01,,
