District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
035,03535061,Lynn Fripps Elementary,21020 83 AVE,,LANGLEY,BC,V2Y0K8,,,,,,Vice Principal,Jen,Huber,,6048881075,Standard,Public,6048881075,6048881022,,https://lynnfripps.sd35.bc.ca/,,,,
035,03535055,R C Garnett Demonstration Elementary,7096 201 ST,,LANGLEY,BC,V2Y3G7,,,,,,Vice Principal,Christine,Wozney,,6045327814,Standard,Public,6045327814,6045327629,zbako@sd35.bc.ca,,,,,
035,03535056,Langley Fundamental Middle/Secondary Sch,21250 42 AVE,,LANGLEY,BC,V3A8K6,,,,,,Educational Software System Coordinator,Carrie,Stare,,6045344779,Standard,Public,6045344779,6045344795,cclapton@sd35.bc.ca,,,,,
035,03525038,Parkside Centennial AM StrongStart,3300 270 ST,,ALDERGROVE,BC,V4W3H2,,,,,,,Vicki,Kidd,,6048567775,StrongStart Center,Early Learning,6048567775,,dwilk@sd35.bc.ca,,,,,
035,03599168,Langley Online and Distributed Learning,21405A 56 AVE,,LANGLEY,BC,V2Y2N1,,,,,,Principal,Sam,Muraca,,6045347155,Provincial Online Learning,Public,6045347155,6045349332,smuraca@sd35.bc.ca,https://lec.sd35.bc.ca/,,,,
035,03535062,Richard Bulpitt Elementary,20965 77A AVE,,LANGLEY,BC,V2Y2E6,,,,,,Principal,Sean,Oliver,,6048885393,Standard,Public,6048885393,6048885356,,https://richardbulpitt.sd35.bc.ca/,,,,
035,03535054,Topham Elementary,21555 91 AVE,,LANGLEY,BC,V1M3Z3,,,,,,Principal,Vanessa,Jaggi,,,Standard,Public,6048886111,6048829378,vjaggi@sd35.bc.ca,,,,,
035,03525020,West Langley PM StrongStart Centre,9403 212 ST,,LANGLEY,BC,V1M1M1,,,,,,Principal,Courtney,Robertson,,6048886444,StrongStart Center,Early Learning,6048886444,,clambiepottersmith@sd35.bc.ca,,,,,
035,03599173,Choices Program,21405A 56 AVE,,LANGLEY,BC,V2Y2N1,,,,,,,Maria,Thompson,,,Alternate Programs,Public,6045347155,6045349332,smuraca@sd35.bc.ca,,,,,
035,03535009,Belmont Elementary,20390 40 AVE,,LANGLEY,BC,V3A2X1,,,,,,Vice-Principal,Laurel,Costello,,6045333641,Standard,Public,6045333641,6045338694,tbonnar@sd35.bc.ca,,,,,
035,03535015,North Otter Elementary,5370 248 ST,,ALDERGROVE,BC,V4W1A7,,,,,,,Elise,Davenport,,6048563355,Standard,Public,6048563355,6048562054,dwoelders@sd35.bc.ca,,,,,
035,03535017,Glenwood Elementary,20785 24 AVE,,LANGLEY,BC,V2Z2B4,,,,,,,Aurora,Chandler,,6045344644,Standard,Public,6045344644,6045348301,gjanzen@sd35.bc.ca,,,,,
035,03535020,Aldergrove Community Secondary,26850 29 AVE,,ALDERGROVE,BC,V4W3C1,,,,,,,Mehneek,Powell,,6048562521,Standard,Public,6048562521,6048569648,mpalichuk@sd35.bc.ca,,,,,
035,03535016,Willoughby Elementary,20766 80 AVE,,LANGLEY,BC,V2Y1X6,,,,,,Vice Principal,Lara,Gray,,6048886033,Standard,Public,6048886033,6048889598,kmuuren@sd35.bc.ca,https://willoughby.sd35.bc.ca/,,,,
035,03535010,U-Connect,20190 48 AVE,,LANGLEY,BC,V3A3L4,,,,,,Vice Principal,Michelle,Allen,,6045302361,District Online Learning,Public,6045302361,6045309671,rstare@sd35.bc.ca,https://simonds-uconnect.sd35.bc.ca,,,,
035,03535002,Fort Langley Elementary,8877 BARTLETT ST,,FORT LANGLEY,BC,V1M2S6,,,,,,Principal,Logan,Kitteringham,,6078882111,Standard,Public,6048882111,6048887933,lkitteringham@sd35.bc.ca,https://fortlangley.sd35.bc.ca,,,,
035,03535019,Langley Secondary,21405 56 AVE,,LANGLEY,BC,V2Y2N1,,,,,,Principal,Diane,Smillie,,6045344171,Standard,Public,6045344171,6045349518,lssstudentrecords@sd35.bc.ca,https://lss.sd35.bc.ca/,,,,
035,03535026,Peterson Road Elementary,23422 47 AVE,,LANGLEY,BC,V2Z2S3,,,,,,Principal,Christine,Lambie Potter Smith,,6045347904,Standard,Public,6045347904,6045343528,clambiepottersmith@sd35.bc.ca,,,,,
035,03535029,Langley Fine Arts School,9096 TRATTLE ST,,FORT LANGLEY,BC,V1M2S6,,,,,,Principal,Adam,Moore,,6048883113,Standard,Public,6048883113,6048883578,amoore@sd35.bc.ca,,,,,
035,03535032,Parkside Centennial Elementary,3300 270 ST,,ALDERGROVE,BC,V4W3H2,,,,,,,Kaitlyn,Ruth,,6048567775,Standard,Public,6048567775,6048563727,dwilk@sd35.bc.ca,,,,,
035,03535033,Blacklock Fine Arts Elementary,5100 206 ST,,LANGLEY,BC,V3A2E5,,,,,,Principal,Susanna,Eppich,,6045303188,Standard,Public,6045303188,6045309726,seppich@sd35.bc.ca,,,,,
035,03535038,Alice Brown Elementary,20011 44 AVE,,LANGLEY,BC,V3A6L8,,,,,,,Lori,Schultz,,,Standard,Public,6045340744,6045348854,cthygesen@sd35.bc.ca,,,,,
035,03535039,Uplands Elementary,4471 207A ST,,LANGLEY,BC,V3A5V8,,,,,,,Deanna,Halldorson,,,Standard,Public,6045331285,6045329748,ryneufeld@sd35.bc.ca,,,,,
035,03535042,Shortreed Community School,27330 28 AVE,,ALDERGROVE,BC,V4W3K1,,,,,,Administrative Assistant,Kathy,Stoddart,,6048564167,Standard,Public,6048564167,6048567523,cwejr@sd35.bc.ca,,,,,
035,03535043,West Langley Elementary,9403 212 ST,,LANGLEY,BC,V1M1M1,,,,,,,Nicole,Rinke,,,Standard,Public,6048886444,6048828556,crobertson@sd35.bc.ca,,,,,
035,03535045,Douglas Park Community,5409 206 ST,,LANGLEY,BC,V3A2C5,,,,,,Administrative Assistant,Kim,Langford,,6045334491,Standard,Public,6045334491,6045337803,mtouzeau@sd35.bc.ca,,,,,
035,03535047,Alex Hope Elementary,21150 85 AVE,,LANGLEY,BC,V1M2M4,,,,,,Vice Principal,Elise,Rehnby,,6048887109,Standard,Public,6048887109,6048887102,nerker@sd35.bc.ca,,,,,
035,03535023,Coghlan Fundamental Elementary,4452 256TH ST,,ALDERGROVE,BC,V4W1J3,,,,,,Principal,Isabella,Lam,,6048568539,Standard,Public,6048568539,6048564309,ilam@sd35.bc.ca,https://coghlan.sd35.bc.ca,,,,
035,03535044,Noel Booth Elementary,20202 35 AVE,,LANGLEY,BC,V3A0N1,,,,,,Principal,Jason,Malo,,6045309747,Standard,Public,6045309747,6045306481,jmalo@sd35.bc.ca,,,,,
035,03535036,Brookswood Secondary,20902 37A AVE,,LANGLEY,BC,V3A5N2,,,,,,Principal,Lisa,Ellis,,6045302141,Standard,Public,6045302141,6045305132,LEllis@sd35.bc.ca,https://bss.sd35.bc.ca/,,,,
035,03535046,Langley Meadows Elementary,2244 WILLOUGHBY WAY,,LANGLEY,BC,V2Y1C1,,,,,,Administrative Assistant,Candace,Herrod,,6045304101,Standard,Public,6045304101,6045303751,rkrisko@sd35.bc.ca,https://langleymeadows.sd35.bc.ca/,,,,
035,03535037,Nicomekl Elementary,20050 53 AVE,,LANGLEY,BC,V3A3T9,,,,,,Principal,Charlene,Redekop,,6045331468,Standard,Public,6045331468,6045331469,credekop@sd35.bc.ca,https://nicomekl.sd35.bc.ca/,,,,
035,03535024,Wix-Brown Elementary,23851 24 AVE,,LANGLEY,BC,V2Z3A3,,,,,,,Marlene,Dickson,,,Standard,Public,6045345633,6045349531,kfeatherstone@sd35.bc.ca,,,,,
035,03535022,Simonds Elementary,20190 48 AVE,,LANGLEY,BC,V3A3L4,,,,,,Vice Principal,Michelle,Allen,,6045302361,Standard,Public,6045302361,6045309671,rstare@sd35.bc.ca,https://simonds-uconnect.sd35.bc.ca/,,,,
035,03596061,Fraser Valley Adventist Academy,26026 48TH AVE,,ALDERGROVE,BC,V4W1J2,,,,,,,Jean,Septembre,,,Standard,Independent,6046073822,6048561002,principal@fvaa.net,,01,01,01,01
