District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
040,04025194,Skwo:Wech StrongStart Centre,331 RICHMOND ST,,NEW WESTMINSTER,BC,V3L4B7,,,,,,,Stephanie,Noda,,,StrongStart Center,Early Learning,6045176090,6045176091,mparrish@sd40.bc.ca,,,,,
040,04025044,Queensborough StrongStart,833 SALTER ST,,NEW WESTMINSTER,BC,V3M6G8,,,,,,,Barinder,Sall,,,StrongStart Center,Early Learning,6045176040,6045176041,igorshkov@sd40.bc.ca,,,,,
040,04040013,Ecole Glenbrook Middle School,701 PARK CRES,,NEW WESTMINSTER,BC,V3L5V4,,,,,,Vice Principal,Gary,Patter,,6045175940,Standard,Public,6045175940,6045175941,cevans@sd40.bc.ca,,,,,
040,04099136,Home Learners Program,521 FADER ST,,NEW WESTMINSTER,BC,V3L3T4,,,,,,Principal,Tu,Trieu,,,Provincial Online Learning,Public,6045176010,6045175991,ttrieu@sd40.bc.ca,,,,,
040,04025408,Connaught Heights StrongStart Centre,2201 LONDON ST,,NEW WESTMINSTER,BC,V3M3G1,,,,,,,Shelley,Brown,,,StrongStart Center,Early Learning,6045176010,6045176011,ldemichina@sd40.bc.ca,,,,,
040,04040014,Queensborough Middle School,833 SALTER ST,,NEW WESTMINSTER,BC,V3M6G8,,,,,,Principal,John,Lekakis,,,Standard,Public,6045176040,6045176041,jlekakis@sd40.bc.ca,,,,,
040,04096747,Al-Hidayah School,7 - 6TH ST,,NEW WESTMINSTER,BC,V3L2Y7,,,,,,Principal,Mazen,Turk,,6045242752,Standard,Independent,6045242752,6045242757,admin@alhidayahschool.ca,,03,03,,
040,04096946,Urban Academy Senior,466 ROUSSEAU ST,,NEW WESTMINSTER,BC,V3L3R3,,,,,,Principal,Mike,Slinger,,6045242211,Standard,Independent,6045242211,6045242711,m.slinger@urbanacademy.ca,,,,02,02
040,04096708,Urban Academy Junior,466 ROUSSEAU ST,,NEW WESTMINSTER,BC,V3L3R3,,,,,,,Mike,Twaites,,6045242211,Standard,Independent,6045242211,6045242711,m.slinger@urbanacademy.ca,,01,01,,
040,04099124,Sigma,835 EIGHTH ST,,NEW WESTMINSTER,BC,V3M3S9,,,,,,Principal,Pam,Craven,,,Alternate Programs,Public,6045176365,6045176151,pcraven@sd40.bc.ca,,,,,
040,04099126,Power Alternate Secondary School,200-1065 COLUMBIA ST,,NEW WESTMINSTER,BC,V3M6H7,,,,,,,Judith,Lizna,,,Alternate Programs,Public,6045176141,6045176169,pcraven@sd40.bc.ca,,,,,
