District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
042,04299154,SD 42 Connected Learning Community,20575 THORNE AVE,,MAPLE RIDGE,BC,V2X9A6,,,,,,Principal,Tricia,Mccuaig,,,District Online Learning,Public,6044666555,6044635437,tricia_mccuaig@sd42.ca,,,,,
042,04242045,Samuel Robertson Technical Secondary,10445 245 ST,,MAPLE RIDGE,BC,V2W2G4,,,,,,Vice Principal,Andrea,Clayton,,6044668409,Standard,Public,6044668409,6044668604,ken_elphick@sd42.ca,https://secondary.sd42.ca/srts/,,,,
042,04242041,Blue Mountain Elementary,12453 248 ST,,MAPLE RIDGE,BC,V4R1J3,,,,,,,Joy,Evans,,,Standard,Public,6044636414,6044634955,julie_clarke@sd42.ca,,,,,
042,04242043,Hammond Elementary,11520 203 ST,,MAPLE RIDGE,BC,V2X4T6,,,,,,Principal,Adam,Stanley,,,Standard,Public,6044601136,6044601137,adam_stanley@sd42.ca,,,,,
042,04242026,District 42 Alternative Secondary,23125 116 AVE,,MAPLE RIDGE,BC,V2X0G8,,,,,,Principal,Steve,Wiebe,,,Alternate Programs,Public,6044664359,6044665735,steven_wiebe@sd42.ca,,,,,
042,04242001,Maple Ridge Secondary,21911 122 AVE,,MAPLE RIDGE,BC,V2X3X2,,,,,,Vice Principal,Allison,Wall,,6044634175,Standard,Public,6044634175,6044635197,grant_frend@sd42.ca,,,,,
042,04242002,Garibaldi Secondary,24789 DEWDNEY TRUNK RD,,MAPLE RIDGE,BC,V4R1X2,,,,,,Principal,Liversidge,Ian,57825,6044636287,Standard,Public,6044636287,6044630896,ian_liversidge@sd42.ca,,,,,
042,04242004,Westview Secondary,20905 WICKLUND AVE,,MAPLE RIDGE,BC,V2X8E8,,,,,,Principal,Trey,Biles,,6044673481,Standard,Public,6044673481,6044664356,cathryn_blanco@sd42.ca,,,,,
042,04242005,Albion Elementary,10031 240TH ST,,MAPLE RIDGE,BC,V2W1G2,,,,,,Principal,Tanya,Dailey,,,Standard,Public,6044634848,6044634689,tanya_dailey@sd42.ca,,,,,
042,04242008,Eric Langton Elementary,12138 EDGE ST,,MAPLE RIDGE,BC,V2X6G8,,,,,,Principal,Brandy,Mcintyre,,,Standard,Public,6044633810,6044638143,el_reception@sd42.ca,,,,,
042,04242009,Fairview Elementary,12209 206 ST,,MAPLE RIDGE,BC,V2X1T8,,,,,,,Korri,Dermott,,,Standard,Public,6044659331,,laura_bruce@sd42.ca,,,,,
042,04242010,Glenwood Elementary,21410 GLENWOOD AVE,,MAPLE RIDGE,BC,V2X3P6,,,,,,,Janet,Page,,,Standard,Public,6044636512,6044639748,michelle_davis@sd42.ca,,,,,
042,04242011,Golden Ears Elementary,23124 118 AVE,,MAPLE RIDGE,BC,V2X2N1,,,,,,,Serena,Kozak,,,Standard,Public,6044639513,6044639578,laura_brandon@sd42.ca,,,,,
042,04242003,Pitt Meadows Secondary,19438 116B AVE,,PITT MEADOWS,BC,V3Y1G1,,,,,,Vice Principal,Anne,Girbav,,6044657141,Standard,Public,6044657141,6044656274,colin_sharpe@sd42.ca,https://secondary.sd42.ca/pmss/,,,,
042,04242000,Continuing ED SD 42,20575 THORNE AVE,,MAPLE RIDGE,BC,V2X9A6,,,,,,,Deborah,Davis,,,Continuing Education,Public,6044666555,6044635437,tricia_mccuaig@sd42.ca,,,,,
042,04242014,Maple Ridge Elementary,20820 RIVER RD,,MAPLE RIDGE,BC,V2X1Z7,,,,,,Principal,Chelsea,Lendvoy,,6044675551,Standard,Public,6044675551,6044679825,mre_reception@sd42.ca,https://elementary.sd42.ca/mapleridge,,,,
042,04242017,Pitt Meadows Elementary,11941 HARRIS RD,,PITT MEADOWS,BC,V3Y2B5,,,,,,,Shannon,Gibson,,,Standard,Public,6044655828,6044658632,pme_reception@sd42.ca,,,,,
042,04242031,Davie Jones Elementary,12030 BLAKELY RD,,PITT MEADOWS,BC,V3Y1J6,,,,,,Principal,Jennifer,Beveridge,,,Standard,Public,6044659908,6044653591,jennifer_beveridge@sd42.ca,,,,,
042,04242033,Highland Park Elementary,18961 ADVENT RD,,PITT MEADOWS,BC,V3Y2G4,,,,,,,Janet,Luder,,,Standard,Public,6044656737,6044657864,brandy_mcintyre@sd42.ca,,,,,
042,04242035,Alouette Elementary,22155 ISAAC CRES,,MAPLE RIDGE,BC,V2X0V9,,,,,,,Triena,Berkey,,,Standard,Public,6044638730,6044633281,dservant@sd42.ca,,,,,
042,04296369,James Cameron School,PO BOX 157 STN MAPLE RIDGE,,MAPLE RIDGE,BC,V2X7G1,20245 DEWDNEY TRUNK RD,,MAPLE RIDGE,BC,V2X3C9,Principal,Jody,Vanegas,,,Standard,Independent,6044658444,6044654561,jcsofficeadmin@jcs.bc.ca,,01,01,,
042,04242036,Harry Hooge Elementary,12280 230 ST,,MAPLE RIDGE,BC,V2X0P6,,,,,,Principal,Nicole,Neggers,,6044630866,Standard,Public,6044630866,6044630821,nneggers@sd42.ca,,,,,
042,04296153,St Patrick's,22589 121 AVE,,MAPLE RIDGE,BC,V2X3T5,,,,,,,Tracy,Rieu,,,Standard,Independent,6044671571,6044672686,mfonseca@cisva.bc.ca,,01,01,,
042,04296400,Meadowridge School,12224 240 ST,,MAPLE RIDGE,BC,V4R1N1,,,,,,Deputy Head of School,Kristal,Bereza,,6044674444,Standard,Independent,6044674444,6044674989,scott.banack@meadowridge.bc.ca,https://www.meadowridge.bc.ca/,02,02,02,02
042,04242032,Laity View Elementary,21023 123 AVE,,MAPLE RIDGE,BC,V2X4B5,,,,,,Vice Principal,Suzanne,Collette,,6044637108,Standard,Public,6044637108,,lv_reception@sd42.ca,,,,,
042,04296468,Meadow Montessori,11391 DARTFORD ST,,MAPLE RIDGE,BC,V2X1V6,,,,,,,Kristine,Lande,,,Standard,Independent,6044653492,6044573492,admin@meadowmontessori.ca,,01,01,01,
042,04296681,Canyon Springs Montessori Academy,18477 OLD DEWDNEY TRUNK RD,,PITT MEADOWS,BC,V3Y1Z1,,,,,,,Lynn,Wong,,,Standard,Independent,6044650597,,admin@canyonspringsmontessori.com,,02,,,
042,04242038,Thomas Haney Secondary,23000 116 AVE,,MAPLE RIDGE,BC,V2X0T8,,,,,,Principal,Darren,Rowell,,6044632001,Standard,Public,6044632001,6044679081,darren_rowell@sd42.ca,,,,,
042,04242052,Yennadon Elementary,23347 128 AVE,,MAPLE RIDGE,BC,V2X4R9,,,,,,,Mary,Schurko,,,Standard,Public,6044638871,6044630228,gary_lozinski@sd42.ca,,,,,
042,04242037,Kanaka Creek Elementary,11120 234A ST,,MAPLE RIDGE,BC,V2W1C8,,,,,,Principal,Chad,Raible,,6044679050,Standard,Public,6044679050,6044678073,chad_raible@sd42.ca,,,,,
042,04242040,Whonnock Elementary,27471 112 AVE,,MAPLE RIDGE,BC,V2W1P9,,,,,,Principal,Megan,Olynyk,,6044627612,Standard,Public,6044627612,,megan_olynyk@sd42.ca,https://elementary.sd42.ca/whonnock/,,,,
042,04299153,Outreach Alternate Secondary,21911 122 AVE,,MAPLE RIDGE,BC,V2X3X2,,,,,,Principal,Grant,Frend,,6044634175,Alternate Programs,Public,6044634175,6044635197,grant_frend@sd42.ca,,,,,
042,04225260,Highland Park StrongStart Centre,18961 ADVENT RD,,PITT MEADOWS,BC,V3Y2G4,,,,,,,Karly,Sharpe,,,StrongStart Center,Early Learning,6044656737,,,,,,,
042,04225262,Fairview StrongStart Centre,12209 206 ST,,MAPLE RIDGE,BC,V2X1T8,,,,,,,Karly,Sharpe,,,StrongStart Center,Early Learning,6044659331,,,,,,,
042,04225261,Eric Langton StrongStart Centre PM,12138 EDGE ST,,MAPLE RIDGE,BC,V2X6G8,,,,,,,Karly,Sharpe,,,StrongStart Center,Early Learning,6044633810,,,,,,,
