District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
038,03838063,Spul'u'kwuks Elementary,5999 BLANSHARD DR,,RICHMOND,BC,V7C5V4,,,,,,,Pen,Coordinator,,,Standard,Public,6043035100,6043035106,estapleton@sd38.bc.ca,,,,,
038,03896889,City Vancouver Academy,5900 NO. 3 RD UNIT 300,,RICHMOND,BC,V6X3P7,,,,,,Principal,Jonathan,Sy,,,Standard,Independent,6042786811,,admin@cityvanacademy.ca,https://www.cityvanacademy.ca,,,04,04
038,03899228,Errington Learning Centre,9831 HERBERT RD,,RICHMOND,BC,V7A1T6,,,,,,,Pen,Coordinator,,,Alternate Programs,Public,6046686699,,dunger@sd38.bc.ca,,,,,
038,03838064,A.R. MacNeill Secondary,6611 NO. 4 RD,,RICHMOND,BC,V6Y2T2,,,,,,,Pen,Coordinator,,,Standard,Public,6046686212,6046686202,jblair@sd38.bc.ca,,,,,
038,03896729,Az-Zahraa Islamic Academy,8580 NO. 5 RD,,RICHMOND,BC,V6Y2V4,,,,,,,Femida,Jagani,,6042747861,Standard,Independent,6042747861,6042747862,pcohee@azia.ca,,01,01,01,
038,03825021,McNeely StrongStart Centre AM,12440 WOODHEAD RD,,RICHMOND,BC,V6V1G3,,,,,,Principal,Catherine,Julie,,,StrongStart Center,Early Learning,6042956431,,cjule@sd38.bc.ca,,,,,
038,03899175,Richmond Virtual School,8160 ST. ALBANS RD,,RICHMOND,BC,V6Y2K9,,,,,,,Pen,Coordinator,,,District Online Learning,Public,6046686371,,hghuag@sd38.bc.ca,,,,,
038,03896781,Ark Elementary Montessori Reggio School,11371 No 3 Rd.,2nd Floor,RICHMOND,BC,V7A1X3,,,,,,,Adina,Priel,,,Standard,Independent,7789903520,,adinanoahsark@gmail.com,https://www.noahsarkschool.ca,03,03,,
038,03896625,Cornerstone Christian Academy,7890 NO. 5 RD,,RICHMOND,BC,V6Y2V2,,,,,,,Vivian,Shiu,,,Standard,Independent,6043039181,6043039187,cca@cebccanada.com,,01,01,,
038,03838027,W D Ferris Elementary,7520 SUNNYMEDE CRES,,RICHMOND,BC,V6Y2V8,,,,,,,Pen,Coordinator,,,Standard,Public,6046686538,,eadjeiachampon@sd38.bc.ca,,,,,
038,03838005,Lord Byng Elementary,3711 GEORGIA ST,,RICHMOND,BC,V7E6M3,,,,,,Principal,Lesa,Schulz,,,Standard,Public,6046686649,6046686657,lschulz@sd38.bc.ca,,,,,
038,03838006,Hamilton Elementary,5180 SMITH DR,,RICHMOND,BC,V6V2W5,,,,,,,Pen,Coordinator,,,Standard,Public,6046686514,6046686515,mmccallum@sd38.bc.ca,,,,,
038,03838008,Garden City Elementary,8311 GARDEN CITY RD,,RICHMOND,BC,V6Y2P1,,,,,,Principal,May,Wong,,,Standard,Public,6046687855,6046686274,mwong@sd38.bc.ca,,,,,
038,03838009,R M Grauer Elementary,4440 BLUNDELL RD,,RICHMOND,BC,V7C1G9,,,,,,,Pen,Coordinator,,,Standard,Public,6046686547,,splumb@sd38.bc.ca,,,,,
038,03838013,James Thompson Elementary,6211 FORSYTH CRES,,RICHMOND,BC,V7C2C4,,,,,,,Karen,Fung,,,Standard,Public,6046686420,6046686490,shoffinger@sd38.bc.ca,,,,,
038,03838014,Blundell Elementary,6480 BLUNDELL RD,,RICHMOND,BC,V7C1H8,,,,,,Principal,Joanne,Rooney,,,Standard,Public,6046686562,6046686214,jrooney@sd38.bc.ca,,,,,
038,03838015,William Cook Elementary,8600 COOK RD,,RICHMOND,BC,V6Y1V7,,,,,,,Pen,Coordinator,,,Standard,Public,6046686454,6046686137,nwiddess@sd38.bc.ca,,,,,
038,03838016,James Whiteside Elementary,9282 WILLIAMS RD,,RICHMOND,BC,V7A1H1,,,,,,Principal,Brett,Cameron,,,Standard,Public,6046686209,6046686419,bcameron@sd38.bc.ca,,,,,
038,03838017,Robert J Tait Elementary,10071 FINLAYSON DR,,RICHMOND,BC,V6X1W7,,,,,,Principal,Rusty,Mason,,,Standard,Public,6046686444,6046686570,rmason@sd38.bc.ca,,,,,
038,03838019,Thomas Kidd Elementary,10851 SHELL RD,,RICHMOND,BC,V7A3W6,,,,,,,Pen,Coordinator,,,Standard,Public,6046686602,6042708278,mdavid@sd38.bc.ca,,,,,
038,03838020,Alfred B Dixon Elementary,9331 DIAMOND RD,,RICHMOND,BC,V7E1P5,,,,,,,Pen,Coordinator,,,Standard,Public,6046686608,6046686574,kwallace@sd38.bc.ca,,,,,
038,03838021,John T Errington Elementary,9831 HERBERT RD,,RICHMOND,BC,V7A1T6,,,,,,Principal,Andrew,Ferguson,,6046686699,Standard,Public,6046686699,,aferguson@sd38.bc.ca,,,,,
038,03838023,Tomsett Elementary,9671 ODLIN RD,,RICHMOND,BC,V6X1E1,,,,,,Principal,Mike,Murray,,,Standard,Public,6046686448,6046686172,mmurray@sd38.bc.ca,,,,,
038,03838025,James Gilmore Elementary,8380 ELSMORE RD,,RICHMOND,BC,V7C2A1,,,,,,,Pen,Coordinator,,,Standard,Public,6046686268,6046686134,tshuto@sd38.bc.ca,,,,,
