District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
036,03696814,G.A.D. Elementary School,13479 77 AVE,,SURREY,BC,V3W6Y1,,,,,,Principal,Manjit,Aulakh,,6045950888,Standard,Independent,6045950888,6045950889,principal@gadschool.com,,01,01,01,
036,03636176,Hillcrest Elementary,18599 65 AVE,,SURREY,BC,V3S8T2,,,,,,Principal,Mary,Stregger,,6045751359,Standard,Public,6045751359,6045750853,hillcrest@surreyschools.ca,,,,,
036,03636164,Sullivan Heights Secondary,6248 144 ST,,SURREY,BC,V3X1A1,,,,,,Principal,Nik,Kirincic,,6045438749,Standard,Public,6045438749,6045439684,sullivanheights@surreyschools.ca,,,,,
036,03625414,Senator Reid StrongStart Centre,9341 126 ST,,SURREY,BC,V3V5C4,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,,,senatorreid@surreyschools.ca,,,,,
036,03636183,Forsyth Road Elementary,10730 139 ST,,SURREY,BC,V3T4L9,,,,,,,Natasha,Sami,,,Standard,Public,6045888394,6049301783,forsythroad@surreyschools.ca,,,,,
036,03625039,Cougar Creek StrongStart Centre,12236 70A AVE,,SURREY,BC,V3W4Z8,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045919098,6045909127,cougarcreek@surreyschools.ca,,,,,
036,03636134,Pacific Heights Elementary,17148 26 AVE,,SURREY,BC,V3S0A4,,,,,,,Rose,Lefebvre,,,Standard,Public,6045312828,6045312839,pacificheights@surreyschools.ca,,,,,
036,03636151,Cambridge Elementary,6115 150 ST,,SURREY,BC,V3S3H7,,,,,,,Heather,Brown,,,Standard,Public,6045954036,6045954039,cambridge@surreyschools.ca,,,,,
036,03636232,Ecole Panorama Ridge Secondary,13220 64 AVE,,SURREY,BC,V3W1X9,,,,,,,Pen,Contact,,,Standard,Public,6045958890,6045958891,panoramaridge@surreyschools.ca,,,,,
036,03636201,Katzie Elementary,6887 194A ST,,SURREY,BC,V4N1N2,7057 191 ST,,SURREY,BC,V4N6E5,Principal,John,Horstead,,,Standard,Public,7785714080,7785714089,katzie@surreyschools.ca,,,,,
